House,Model,Appliance,Time,MAE,MAPE,RMSE,MSE,FECA
0,LDA_HP,TV,6.50597882270813,0.6,55.79999999999464,0.8270429251254133,0.684,0.08536585365853655
0,LDA_STHP,TV,27.87050223350525,0.508,46.999999999995495,0.764198926981712,0.584,0.22560975609756095
0,LDA_SKANTHP,TV,27.24501943588257,0.348,32.399999999996886,0.6292853089020909,0.396,0.4695121951219512
0,LNDA_HP,TV,16.678321599960327,0.438,40.99999999999605,0.7028513356322231,0.494,0.33231707317073167
0,LNDA_STHP,TV,43.38467359542847,0.264,24.799999999997603,0.5440588203494178,0.296,0.5975609756097561
0,LNDA_SKANTHP,TV,43.38638234138489,0.234,21.599999999997934,0.5196152422706632,0.27,0.6432926829268293
0,LDA_HP,washing_drying,6.50597882270813,0.008,0.39999999999998004,0.12649110640673517,0.016,0.33333333333333337
0,LDA_STHP,washing_drying,27.87050223350525,0.012,0.7999999999999402,0.1414213562373095,0.02,0.0
0,LDA_SKANTHP,washing_drying,27.24501943588257,0.006,0.39999999999997,0.1,0.01,0.5
0,LNDA_HP,washing_drying,16.678321599960327,0.002,0.19999999999998,0.044721359549995794,0.002,0.8333333333333334
0,LNDA_STHP,washing_drying,43.38467359542847,0.006,0.39999999999997,0.1,0.01,0.5
0,LNDA_SKANTHP,washing_drying,43.38638234138489,0.01,0.59999999999996,0.1341640786499874,0.018,0.16666666666666663
0,LDA_HP,kitchen,6.50597882270813,0.042,3.999999999999611,0.21447610589527216,0.046,0.2222222222222222
0,LDA_STHP,kitchen,27.87050223350525,0.048,4.39999999999958,0.23664319132398465,0.056,0.11111111111111116
0,LDA_SKANTHP,kitchen,27.24501943588257,0.03,2.9999999999997007,0.17320508075688773,0.03,0.4444444444444444
0,LNDA_HP,kitchen,16.678321599960327,0.022,2.1999999999997804,0.14832396974191325,0.022,0.5925925925925926
0,LNDA_STHP,kitchen,43.38467359542847,0.018,1.3999999999998802,0.161245154965971,0.026,0.6666666666666667
0,LNDA_SKANTHP,kitchen,43.38638234138489,0.02,1.9999999999998002,0.1414213562373095,0.02,0.6296296296296297
0,LDA_HP,fridge,6.50597882270813,0.846,55.799999999995876,1.1924764148611073,1.422,0.12422360248447206
0,LDA_STHP,fridge,27.87050223350525,0.76,49.999999999996305,1.131370849898476,1.28,0.21325051759834368
0,LDA_SKANTHP,fridge,27.24501943588257,0.504,32.199999999997694,0.9316651759081692,0.868,0.4782608695652174
0,LNDA_HP,fridge,16.678321599960327,0.744,48.59999999999643,1.1224972160321824,1.26,0.22981366459627328
0,LNDA_STHP,fridge,43.38467359542847,0.378,24.199999999998262,0.806225774829855,0.65,0.6086956521739131
0,LNDA_SKANTHP,fridge,43.38638234138489,0.344,22.39999999999836,0.764198926981712,0.584,0.6438923395445135
0,LDA_HP,heating,6.50597882270813,0.766,72.19999999999301,0.9241212041718337,0.854,0.08809523809523812
0,LDA_STHP,heating,27.87050223350525,0.664,62.799999999993915,0.8579044235810886,0.736,0.20952380952380956
0,LDA_SKANTHP,heating,27.24501943588257,0.454,43.79999999999571,0.697137002317335,0.486,0.45952380952380956
0,LNDA_HP,heating,16.678321599960327,0.674,63.9999999999938,0.8613942186943212,0.742,0.19761904761904758
0,LNDA_STHP,heating,43.38467359542847,0.31,28.599999999997266,0.5983310120660636,0.358,0.6309523809523809
0,LNDA_SKANTHP,heating,43.38638234138489,0.372,34.99999999999661,0.644980619863884,0.416,0.5571428571428572
1,LDA_HP,TV,6.50597882270813,0.412,28.999999999997716,0.8099382692526635,0.656,0.10434782608695647
1,LDA_STHP,TV,27.87050223350525,0.376,26.59999999999789,0.7720103626247513,0.596,0.18260869565217386
1,LDA_SKANTHP,TV,27.24501943588257,0.358,25.39999999999798,0.752329714952161,0.566,0.22173913043478266
1,LNDA_HP,TV,16.678321599960327,0.244,17.999999999998522,0.6099180272790763,0.372,0.4695652173913043
1,LNDA_STHP,TV,43.38467359542847,0.184,12.799999999999,0.5440588203494178,0.296,0.6
1,LNDA_SKANTHP,TV,43.38638234138489,0.156,11.399999999999071,0.4898979485566356,0.24,0.6608695652173913
1,LDA_HP,washing_drying,6.50597882270813,0.038,2.5999999999998002,0.24899799195977465,0.062,0.050000000000000044
1,LDA_STHP,washing_drying,27.87050223350525,0.034,2.1999999999998403,0.24083189157584592,0.058,0.15000000000000002
1,LDA_SKANTHP,washing_drying,27.24501943588257,0.024,1.79999999999985,0.18973665961010275,0.036,0.4
1,LNDA_HP,washing_drying,16.678321599960327,0.024,1.59999999999988,0.2,0.04,0.4
1,LNDA_STHP,washing_drying,43.38467359542847,0.008,0.59999999999995,0.10954451150103323,0.012,0.8
1,LNDA_SKANTHP,washing_drying,43.38638234138489,0.012,0.7999999999999402,0.1414213562373095,0.02,0.7
1,LDA_HP,kitchen,6.50597882270813,0.108,6.19999999999961,0.4472135954999579,0.2,0.09999999999999998
1,LDA_STHP,kitchen,27.87050223350525,0.104,5.999999999999621,0.4381780460041329,0.192,0.1333333333333333
1,LDA_SKANTHP,kitchen,27.24501943588257,0.058,3.3999999999997796,0.3255764119219941,0.106,0.5166666666666666
1,LNDA_HP,kitchen,16.678321599960327,0.07,3.9999999999997495,0.36055512754639896,0.13,0.41666666666666663
1,LNDA_STHP,kitchen,43.38467359542847,0.044,2.59999999999983,0.282842712474619,0.08,0.6333333333333333
1,LNDA_SKANTHP,kitchen,43.38638234138489,0.068,3.7999999999997693,0.35777087639996635,0.128,0.43333333333333335
1,LDA_HP,fridge,6.50597882270813,0.566,45.599999999996,0.8865664103720601,0.786,0.13719512195121952
1,LDA_STHP,fridge,27.87050223350525,0.532,42.59999999999627,0.862554346113913,0.744,0.18902439024390238
1,LDA_SKANTHP,fridge,27.24501943588257,0.478,38.599999999996605,0.8136338242723197,0.662,0.27134146341463417
1,LNDA_HP,fridge,16.678321599960327,0.354,28.799999999997457,0.697137002317335,0.486,0.46036585365853655
1,LNDA_STHP,fridge,43.38467359542847,0.268,21.39999999999813,0.6131883886702356,0.376,0.5914634146341464
1,LNDA_SKANTHP,fridge,43.38638234138489,0.278,22.39999999999803,0.6212889826803627,0.386,0.5762195121951219
1,LDA_HP,heating,6.50597882270813,0.536,30.59999999999809,0.997997995989972,0.996,0.09152542372881356
1,LDA_STHP,heating,27.87050223350525,0.466,26.99999999999828,0.9262828941527529,0.858,0.21016949152542375
1,LDA_SKANTHP,heating,27.24501943588257,0.332,18.99999999999881,0.7848566748139434,0.616,0.43728813559322033
1,LNDA_HP,heating,16.678321599960327,0.366,20.799999999998708,0.8258329128825032,0.682,0.37966101694915255
1,LNDA_STHP,heating,43.38467359542847,0.214,12.39999999999921,0.6276941930590086,0.394,0.6372881355932203
1,LNDA_SKANTHP,heating,43.38638234138489,0.174,9.39999999999946,0.5779273310719956,0.334,0.7050847457627119
