House,Model,Appliance,Time,MAE,MAPE,RMSE,MSE,FECA
1,LNDA_HP,Appliance1,16.56437921524048,0.334,32.399999999996815,0.5949789912257406,0.354,0.21226415094339623
1,LNDA_STHP,Appliance1,42.39210653305054,0.196,19.399999999998073,0.4472135954999579,0.2,0.5377358490566038
1,LNDA_SKANTHP,Appliance1,42.37637758255005,0.15,14.399999999998588,0.40249223594996214,0.162,0.6462264150943396
1,LDA_HP,Appliance2,6.78028130531311,0.054,2.9999999999998197,0.31937438845342625,0.102,0.0
1,LDA_STHP,Appliance2,27.199366569519043,0.044,2.39999999999986,0.28982753492378877,0.084,0.18518518518518523
1,LDA_SKANTHP,Appliance2,26.257107496261597,0.034,1.7999999999999,0.2569046515733026,0.066,0.37037037037037035
1,LNDA_HP,Appliance2,16.56437921524048,0.032,1.7999999999998901,0.2449489742783178,0.06,0.40740740740740744
1,LNDA_STHP,Appliance2,42.39210653305054,0.028,1.5999999999999002,0.22803508501982758,0.052,0.4814814814814815
1,LNDA_SKANTHP,Appliance2,42.37637758255005,0.01,0.59999999999996,0.1341640786499874,0.018,0.8148148148148149
1,LDA_HP,Appliance3,6.78028130531311,0.9,89.39999999999114,0.9549869109050658,0.912,0.10179640718562877
1,LDA_STHP,Appliance3,27.199366569519043,0.774,76.79999999999238,0.8865664103720601,0.786,0.22754491017964074
1,LDA_SKANTHP,Appliance3,26.257107496261597,0.686,68.19999999999322,0.8330666239863411,0.694,0.3153692614770459
1,LNDA_HP,Appliance3,16.56437921524048,0.712,70.599999999993,0.8508818954473059,0.724,0.2894211576846307
1,LNDA_STHP,Appliance3,42.39210653305054,0.394,39.1999999999961,0.6308724118235002,0.398,0.6067864271457086
1,LNDA_SKANTHP,Appliance3,42.37637758255005,0.318,31.399999999996886,0.5709640969448079,0.326,0.6826347305389222
1,LDA_HP,Appliance4,6.78028130531311,0.01,0.7999999999999299,0.11832159566199232,0.014,0.0
1,LDA_STHP,Appliance4,27.199366569519043,0.008,0.59999999999995,0.10954451150103323,0.012,0.19999999999999996
1,LDA_SKANTHP,Appliance4,26.257107496261597,0.004,0.39999999999996,0.06324555320336758,0.004,0.6
1,LNDA_HP,Appliance4,16.56437921524048,0.006,0.59999999999994,0.07745966692414834,0.006,0.4
1,LNDA_STHP,Appliance4,42.39210653305054,0.002,0.19999999999998,0.044721359549995794,0.002,0.8
1,LNDA_SKANTHP,Appliance4,42.37637758255005,0.002,0.19999999999998,0.044721359549995794,0.002,0.8
